,C2H2,C2H4,C2H6,C6H6,CCl4,CF4,CH3Br,CH3Cl,CH3F,CH3OH,CH4,CO,CO2,CS2,Cl2,D2,F2,H2,H2CO,H2O,H2S,HBr,HCN,HCOOH,HCl,HF,HI,N2,N2O,N2O4,NH3,NO,NO2,O2,O3,OCS,PH3,SO2,SiH4
C2H2,18,3,3,3,3,3,3,3,3,3,1,1,3,4,1,2,1,2,1,1,1,2,4,3,2,2,2,1,4,3,3,1,1,1,1,4,1,1,3
C2H4,3,18,5,4,5,5,4,4,5,9,1,1,5,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,5,1,1,1,1,3,1,1,7
C2H6,3,5,18,4,6,7,4,4,7,5,1,1,6,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,6,1,1,1,1,3,1,1,5
C6H6,3,4,4,18,4,4,6,6,4,4,1,1,4,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,4,1,1,1,1,3,1,1,4
CCl4,3,5,6,4,18,6,4,4,6,5,1,1,9,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,9,1,1,1,1,3,1,1,5
CF4,3,5,7,4,6,18,4,4,8,5,1,1,6,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,6,1,1,1,1,3,1,1,5
CH3Br,3,4,4,6,4,4,18,7,4,4,1,1,4,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,4,1,1,1,1,3,1,1,4
CH3Cl,3,4,4,6,4,4,7,18,4,4,1,1,4,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,4,1,1,1,1,3,1,1,4
CH3F,3,5,7,4,6,8,4,4,18,5,1,1,6,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,6,1,1,1,1,3,1,1,5
CH3OH,3,9,5,4,5,5,4,4,5,18,1,1,5,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,5,1,1,1,1,3,1,1,7
CH4,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,6,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,9,5,1
CO,1,1,1,1,1,1,1,1,1,1,1,18,1,1,4,1,13,1,1,1,1,1,1,1,1,1,1,10,1,1,1,16,1,16,1,1,1,1,1
CO2,3,5,6,4,9,6,4,4,6,5,1,1,18,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,9,1,1,1,1,3,1,1,5
CS2,4,3,3,3,3,3,3,3,3,3,1,1,3,18,1,2,1,2,1,1,1,2,7,3,2,2,2,1,4,3,3,1,1,1,1,10,1,1,3
Cl2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,18,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1
D2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,18,1,4,1,1,1,4,2,2,4,7,4,1,2,2,2,1,1,1,1,2,1,1,2
F2,1,1,1,1,1,1,1,1,1,1,1,13,1,1,4,1,18,1,1,1,1,1,1,1,1,1,1,10,1,1,1,13,1,13,1,1,1,1,1
H2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,1,18,1,1,1,4,2,2,4,4,4,1,2,2,2,1,1,1,1,2,1,1,2
H2CO,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,18,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,6,5,1
H2O,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,18,10,1,1,1,1,1,1,1,1,1,1,1,7,1,4,1,5,7,1
H2S,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,10,18,1,1,1,1,1,1,1,1,1,1,1,7,1,4,1,5,7,1
HBr,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,1,4,1,1,1,18,2,2,10,4,7,1,2,2,2,1,1,1,1,2,1,1,2
HCN,4,3,3,3,3,3,3,3,3,3,1,1,3,7,1,2,1,2,1,1,1,2,18,3,2,2,2,1,4,3,3,1,1,1,1,7,1,1,3
HCOOH,3,4,4,4,4,4,4,4,4,4,1,1,4,3,1,2,1,2,1,1,1,2,3,18,2,2,2,1,3,7,4,1,1,1,1,3,1,1,4
HCl,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,1,4,1,1,1,10,2,2,18,4,7,1,2,2,2,1,1,1,1,2,1,1,2
HF,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,7,1,4,1,1,1,4,2,2,4,18,4,1,2,2,2,1,1,1,1,2,1,1,2
HI,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,1,4,1,1,1,7,2,2,7,4,18,1,2,2,2,1,1,1,1,2,1,1,2
N2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,4,1,10,1,1,1,1,1,1,1,1,1,1,18,1,1,1,10,1,10,1,1,1,1,1
N2O,4,3,3,3,3,3,3,3,3,3,1,1,3,4,1,2,1,2,1,1,1,2,4,3,2,2,2,1,18,3,3,1,1,1,1,4,1,1,3
N2O4,3,4,4,4,4,4,4,4,4,4,1,1,4,3,1,2,1,2,1,1,1,2,3,7,2,2,2,1,3,18,4,1,1,1,1,3,1,1,4
NH3,3,5,6,4,9,6,4,4,6,5,1,1,9,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,18,1,1,1,1,3,1,1,5
NO,1,1,1,1,1,1,1,1,1,1,1,16,1,1,4,1,13,1,1,1,1,1,1,1,1,1,1,10,1,1,1,18,1,16,1,1,1,1,1
NO2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,7,7,1,1,1,1,1,1,1,1,1,1,1,18,1,4,1,5,7,1
O2,1,1,1,1,1,1,1,1,1,1,1,16,1,1,4,1,13,1,1,1,1,1,1,1,1,1,1,10,1,1,1,16,1,18,1,1,1,1,1
O3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,18,1,4,4,1
OCS,4,3,3,3,3,3,3,3,3,3,1,1,3,10,1,2,1,2,1,1,1,2,7,3,2,2,2,1,4,3,3,1,1,1,1,18,1,1,3
PH3,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,6,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,18,5,1
SO2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,7,7,1,1,1,1,1,1,1,1,1,1,1,7,1,4,1,5,18,1
SiH4,3,7,5,4,5,5,4,4,5,7,1,1,5,3,1,2,1,2,1,1,1,2,3,4,2,2,2,1,3,4,5,1,1,1,1,3,1,1,18
